"4d20445c4c366edf98c62df944e60c52f5c88c5d","2970","Alien 3 (Europe)"
"c719da33015b96c78a5233351bae7b9dd466c4eb","2970","Alien 3 (Japan)"
"7c29a915c28c534c8a67a940e86d8346958f4fa1","2970","Alien 3 (USA)"
"61fada9c94a7a834edf0567f12a90d336611a9c7","2970","Alien 3 (USA) (Beta)"
"2beffd4d63ff4a868660c21c69650d9456908745","3310","Alien vs Predator (Europe)"
"309f5d60f15c2af06ed30ef95112a8a287132ad5","3310","Alien vs Predator (USA)"
"e8f13b51c7700c721a4a916e77e24429a3afb749","3310","Aliens vs. Predator (Japan)"
"97d942604ce1a2fa40c89b8c19bad765ec660d8a","3311","All-American Championship Football (Europe)"
"94763d6fc3216082e33cafbecb1e737ef3c5bda9","21489","Amazing Spider-Man, The - Lethal Foes (Japan)"
"7d53b77c51c7c7e964f40e12b641a405d2e68b2a","","America Oudan Ultra Quiz (Japan)"
"8c5a3f81a59b788118473eef9a68007acf942a87","","American Battle Dome (Japan)"
"a3b280f9acae932c03dd5177c6a671040575a05f","2761","American Gladiators (USA)"
"30558dce9cacf9aabbeef7cf14055a04d787cc09","1704","American Tail, An - Fievel Goes West (Europe)"
"572254aebc4dcf3f65aa0c8f9b7cf6836bb9a294","1704","American Tail, An - Fievel Goes West (USA)"
"0916428789c5cdfd7b92504f7ae5dc7782f9f9e5","3161","Andre Agassi Tennis (Japan)"
"aecc2eefe059a5914095506cecaef52ccef27862","3161","Andre Agassi Tennis (USA)"
"e48ab2ea6c673cf8170ac8f41625482524f3406e","9053","Angelique - Voice Fantasy (Japan)"
"4824bccebfd0f4f89e89993e0edb81d604105e38","9053","Angelique (Japan)"
"9b3e83b337ac40918e648c6a917f93af8e31459b","9053","Angelique (Japan) (Premium Box)"
"c6f5bd4c9bca100c49735a3f79fcb97ed8d7c379","1720","Animal Buranden - Brutal (Japan)"
"f3c3c701ab80f0431938b74154c2d1b3c3dd33c7","274","Animaniacs (Europe)"
"382dabaed7bb03880582546ea9501e33eee4cb6d","274","Animaniacs (Japan)"
"edc84730448268ecf1271681bc789feef89eca38","274","Animaniacs (USA)"
"09fad9da1e65717ed2bddc2f4dfad31e35976daf","18717","Another World (Europe)"
"c63ca9ad073bc2b8ae079aa19cf026791d0fd2db","","Aoki Densetsu Shoot! (Japan)"
"2cbd38d21c26823f0150c341d74941801c15bee1","","Aoki Densetsu Shoot! (Japan) (Beta)"
"95640a8ecff7a5380c71fd2a4915f22341870769","37466","Apocalypse II (Europe) (Proto)"
"c331838c774b14a01a81d0d057af658e2a0feefb","17195","Appleseed - Prometheus no Shintaku (Japan)"
"cb95d1bfd57e0a226fc7322a572032a6d4a149bf","2670","Aqutallion (Japan)"
"4c06a9a1f5598869852b9f008136e38e2a39baab","14812","Arabian Nights - Sabaku no Seirei Ou (Japan)"
"9dd44e7f063b07de7ecee22914f4b273033ea697","29256","Araiguma Rascal (Japan)"
"a2d55e5d9fa13a90da776ba48b008b6ac7f9724d","1568","Arcade's Greatest Hits - The Atari Collection 1 (Europe)"
"5ed17711300ab1c82791931e910620d2497fc0cf","1568","Arcade's Greatest Hits - The Atari Collection 1 (USA)"
"35d04611f815672d02104e174624f9610994b0b5","1707","Arcana (USA)"
"827232b0665fdb2a6c56e42164e2c334b3ceb9de","1569","Archer Maclean's Super Dropzone (Europe)"
"1748c5df2cbcf2e1cc3720b6cb1206c0e966ec95","1999","Arcus Odyssey (USA) (Proto)"
"d9b029a4d22c75113a051c7eb7bf6ea0ecdcba8d","1999","Arcus Spirits (Japan)"
"2902d66c27420aabd0270ff772244eaf30368781","275","Ardy Lightfoot (Europe)"
"75b727ba61bb8622b859b5e1c102e85f1c335ac7","275","Ardy Lightfoot (Japan)"
"f7f6950698ecb2fb38a3beb79555b1db39dd9740","275","Ardy Lightfoot (Japan) (Beta)"
"941750d25912967084672df1fb8310e35e4ee23f","275","Ardy Lightfoot (USA)"
"57c2c8458bc5c1be40a4a6829fb3f4c70ee4cec5","3287","Area 88 (Japan)"
"af4960f2eec19ea7910a268bf8fad266518dbcfa","23405","Aretha (Japan)"
"1eb540648749f760ea23e6fb6c3ae3ad0b7ca1a5","","Aretha II - Ariel no Fushigi na Tabi (Japan)"
"8fec486ae1a20434d53a04d9e8bcca25922f700d","","Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 1)"
"2d682d2def490a6a7c622644e5bbf2a314b3a10a","","Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 2)"
"621454564f7c494b6953be2066d73641096c84f1","1570","Arkanoid - Doh It Again (Europe)"
"03f839819a253eed9a928d8d7cc80fcc245ab23d","1570","Arkanoid - Doh It Again (Japan)"
