"Description","Media Serial","Region","File","Size","MD5","CRC32"
"Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta)","","","Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta).sfc","1048576","DEF63020A0118BD4A49F8367262D6A27","64D68066"
"Advanced Dungeons & Dragons - Eye of the Beholder (USA)","","USA","Advanced Dungeons & Dragons - Eye of the Beholder (USA).sfc","1048576","37C38E3FC469D69E8432E69982537DE3","20143571"
"Advanced Dungeons & Dragons - Eye of the Beholder (USA)","SNS-IB-USA","USA","Advanced Dungeons & Dragons - Eye of the Beholder (USA).sfc","1048576","37C38E3FC469D69E8432E69982537DE3","20143571"
"Advanced Dungeons & Dragons - Eye of the Beholder (USA)","SNS-IB","USA","Advanced Dungeons & Dragons - Eye of the Beholder (USA).sfc","1048576","37C38E3FC469D69E8432E69982537DE3","20143571"
"Adventures of Batman & Robin, The (Europe)","","","Adventures of Batman & Robin, The (Europe).sfc","2097152","49775F5E46BE05C1E245B26A70B6F756","96B0C568"
"Adventures of Batman & Robin, The (USA)","","USA","Adventures of Batman & Robin, The (USA).sfc","2097152","517A88892164B47C2821C0708AD08B58","B3EF81F5"
"Adventures of Batman & Robin, The (USA)","SNS-ABTE-USA","USA","Adventures of Batman & Robin, The (USA).sfc","2097152","517A88892164B47C2821C0708AD08B58","B3EF81F5"
"Adventures of Dr. Franken, The (Europe) (En,Fr,De,Es,It,Nl,Sv)","SNSP-6F-UKV","Europe","Adventures of Dr. Franken, The (Europe) (En,Fr,De,Es,It,Nl,Sv).sfc","1048576","2A1E41A27C859E9DCBAEA55A6611FFAB","E4925F15"
"Adventures of Dr. Franken, The (USA)","SNS-6F-USA","USA","Adventures of Dr. Franken, The (USA).sfc","1048576","30F7BA1F2D2148A3E72880ED00939863","CFAB3BBA"
"Adventures of Kid Kleets, The (USA) (En,Fr,Es)","SNS-YK-USA","USA","Adventures of Kid Kleets, The (USA) (En,Fr,Es).sfc","1310720","5A5F9F82B366700ECAAD6465966FDE3F","1664AE48"
"Adventures of Mighty Max, The (Europe)","SNSP-AMOP-EUR","Europe","Adventures of Mighty Max, The (Europe).sfc","1048576","DCA672428CF983FA0A79AB9EC3B04285","62A7C74B"
"Adventures of Rocky and Bullwinkle and Friends, The (USA)","SNS-RZ-USA","USA","Adventures of Rocky and Bullwinkle and Friends, The (USA).sfc","1048576","6208ADE9F0FD83AE407179509B4C976D","DC8F5734"
"Adventures of the Rocketeer, The (Japan)","","","Adventures of the Rocketeer, The (Japan).sfc","1048576","6CA90233DF9291530FD3676C05D0E6FD","CBC4868E"
"Adventures of Yogi Bear (USA)","","USA","Adventures of Yogi Bear (USA).sfc","1048576","4E974BB549016F59A807B7D11240FB37","7448D45C"
"Adventures of Yogi Bear (USA)","SNS-Y8-USA","USA","Adventures of Yogi Bear (USA).sfc","1048576","4E974BB549016F59A807B7D11240FB37","7448D45C"
"Aero Fighters (USA)","SNS-AERE-USA","USA","Aero Fighters (USA).sfc","1310720","510B850D22A6F3D67CCBFDD979501943","F194D00A"
"Aero the Acro-Bat (Europe)","SNSP-XB-UKV","Europe","Aero the Acro-Bat (Europe).sfc","1048576","9FA0CE0D6915E6FB1A25A44E1D9221D4","FA0CE63A"
"Aero the Acro-Bat (USA)","","USA","Aero the Acro-Bat (USA).sfc","1048576","055FB50B90EA0EF5946CBC191F3D2900","919F23CB"
"Aero the Acro-Bat (USA)","SNS-XB-USA","USA","Aero the Acro-Bat (USA).sfc","1048576","055FB50B90EA0EF5946CBC191F3D2900","919F23CB"
