"Description","Media Serial","Region","File","Size","MD5","CRC32"
"MVP Baseball (Japan) (En)","","","MVP Baseball (Japan) (En).sfc","1048576","5880425952E1A279CF4C2CBE1505835C","C7DAA598"
"Mystery Circle (Japan)","","","Mystery Circle (Japan).sfc","1048576","ABF30A68AE9A597290B9BFE4E4D063FB","7341CE40"
"Mystic Ark (Japan)","","Japan","Mystic Ark (Japan).sfc","4194304","540E82F13AD57A2C6FFC0E14E3F61098","FEB80589"
"Mystic Quest Legend (Europe)","SNSP-MQ-UKV","Europe","Mystic Quest Legend (Europe).sfc","524288","92461CD3F1A72B8BEB32EBAB98057B76","45A7328F"
"Mystic Quest Legend (France)","","","Mystic Quest Legend (France).sfc","524288","A5356B9BAD50D4A9191BC1FE50316B5B","F997DEBC"
"Mystic Quest Legend (Germany)","SNSP-MQ-NOE/SFRG","","Mystic Quest Legend (Germany).sfc","524288","10CFE4F746A8BF3DD54C1E61C67F61D1","F21760DF"
"Nage Libre - Seijaku no Suishin (Japan)","","Japan","Nage Libre - Seijaku no Suishin (Japan).sfc","1572864","CBBC7C92B5C2557CC610D58EFCC50CDE","A98F24E1"
"Nakajima Satoru Kanshuu - F-1 Hero '94 (Japan)","","","Nakajima Satoru Kanshuu - F-1 Hero '94 (Japan).sfc","1048576","7BC84DD0EB914E99E12E5B022535B02E","C708DB00"
"Nakajima Satoru Kanshuu - Super F-1 Hero (Japan)","","","Nakajima Satoru Kanshuu - Super F-1 Hero (Japan).sfc","1048576","AE5302900E176222091AEB3668DC77AD","D7D6A0E9"
"Nakano Kouichi Kanshuu Keirin Ou (Japan)","","","Nakano Kouichi Kanshuu Keirin Ou (Japan).sfc","524288","FD9BF1429B8EC9187436E45A2BD4E702","D90D7C95"
"Naki no Ryuu - Mahjong Hishouden (Japan)","SHVC-RY","Japan","Naki no Ryuu - Mahjong Hishouden (Japan).sfc","1048576","1782DE60D82E1368E9C56054304885D0","CF2C0800"
"Namcot Open (Japan)","","","Namcot Open (Japan).sfc","1048576","3C67925D2912B350390B5CF5BC434E82","0894AE07"
"Nangoku Shounen Papuwa-kun (Japan)","","Japan","Nangoku Shounen Papuwa-kun (Japan).sfc","1048576","6A2D887F7AA9A1DD5187DC573B26156D","8BDA9255"
"Naruhodo! The World (Japan)","","","Naruhodo! The World (Japan).sfc","1572864","2D259796396E93F6D13B71D9F3769F11","6460FBBE"
"Natsuki Crisis Battle (Japan)","","","Natsuki Crisis Battle (Japan).sfc","2621440","A6D7097E5B3720707C9BC2C3FFB846BE","97727818"
"Natsume Championship Wrestling (USA)","SNS-7W-USA","USA","Natsume Championship Wrestling (USA).sfc","2097152","2067F76B1AC029C6A6C59B0BEAFB2B80","D4DC20E1"
"Natsume Championship Wrestling (USA)","SNS-7W","USA","Natsume Championship Wrestling (USA).sfc","2097152","2067F76B1AC029C6A6C59B0BEAFB2B80","D4DC20E1"
"Naxat Super Pinball - Jaki Crush (Japan)","","Japan","Naxat Super Pinball - Jaki Crush (Japan).sfc","1048576","DB70950CBF7FF13C94CE249494B0B4D5","F696D5A9"
"NBA All-Star Challenge (Europe)","SNSP-NB-UKV","Europe","NBA All-Star Challenge (Europe).sfc","1048576","B3695A686E32089D4555466A8C4BBB34","B5693B18"
"NBA All-Star Challenge (Japan) (En)","SHVC-NB","Japan","NBA All-Star Challenge (Japan) (En).sfc","1048576","067D9128BB7C3AC164CF184A880F6B12","E5014292"
"NBA All-Star Challenge (USA)","SNS-NB-USA","USA","NBA All-Star Challenge (USA).sfc","1048576","87E2235173DDE35B21AE6816561E4E26","A905A565"
"NBA Give 'n Go (Europe)","SNSP-ANJP-EUR","Europe","NBA Give 'n Go (Europe).sfc","2097152","4BF5287384FF382EB2E83269270E2114","E52B9AF6"
"NBA Give 'n Go (USA)","SNS-ANJE-USA","USA","NBA Give 'n Go (USA).sfc","2097152","5B6433C5C709D9F054F06F4E90485D06","68C8B643"
"NBA Hang Time (Europe)","","","NBA Hang Time (Europe).sfc","3145728","D78F763D120D1F4FCCF40273222EF6A4","F1FE37A4"
"NBA Hang Time (USA)","SNS-AXGE-USA","USA","NBA Hang Time (USA).sfc","3145728","E9A46430216CA4CBCC3D58DADB4E3FF1","262CE76B"
"NBA Jam (Europe)","","","NBA Jam (Europe).sfc","2097152","5A7BB097ED50ED69F852D2B4A148D450","2B8E81C6"
"NBA Jam (Europe) (Rev 1)","SNSP-8N-UKV","Europe","NBA Jam (Europe) (Rev 1).sfc","2097152","81DCFBBAA66F8BED4C0AB0E2B6D3E053","FA9A577A"
"NBA Jam (Europe) (Rev 1)","SNSP-8N-SCN","Europe","NBA Jam (Europe) (Rev 1).sfc","2097152","81DCFBBAA66F8BED4C0AB0E2B6D3E053","FA9A577A"
"NBA Jam (Japan) (En)","","","NBA Jam (Japan) (En).sfc","2097152","D9D67A64841F05FCD4F567415F1C7E25","118B162E"
"NBA Jam (USA)","SNS-8N-USA","USA","NBA Jam (USA).sfc","2097152","808B6D01CA9C7E1938541F55EB71F73C","43F1C013"
"NBA Jam (USA)","SNS-8N","USA","NBA Jam (USA).sfc","2097152","808B6D01CA9C7E1938541F55EB71F73C","43F1C013"
"NBA Jam (USA) (Rev 1)","","","NBA Jam (USA) (Rev 1).sfc","2097152","6EE56E3FDFA9543EF7755A08897767EC","8F42CAE7"
"NBA Jam (USA) (Beta)","N/A","USA","NBA Jam (USA) (Beta).sfc","2097152","16A0200371580DF2204884B35CE1F30D","0318705B"
"NBA Jam - Tournament Edition (Europe)","SNSP-AJTP-EUR","Europe","NBA Jam - Tournament Edition (Europe).sfc","3145728","FD9CCCC7D07699E79D6F634BD5C3E0D5","D48C8041"
"NBA Jam - Tournament Edition (Japan) (En)","","","NBA Jam - Tournament Edition (Japan) (En).sfc","3145728","C9C9EA0E0855C282C27FECD491CD4365","3C169224"
"NBA Jam - Tournament Edition (USA)","SNS-AJTE-USA","USA","NBA Jam - Tournament Edition (USA).sfc","3145728","503965FC09952186F79DD89D730D8D7F","1FBC1DDB"
"NBA Jam - Tournament Edition (USA)","SNS-AJTE","USA","NBA Jam - Tournament Edition (USA).sfc","3145728","503965FC09952186F79DD89D730D8D7F","1FBC1DDB"
"NBA Jam - Tournament Edition (USA) (Beta)","","","NBA Jam - Tournament Edition (USA) (Beta).sfc","3145728","5CE6E551582D119B31C094D0A33E1C3F","8D7B1828"
"NBA Jikkyou Basket - Winning Dunk (Japan)","SHVC-ANJJ-JPN","Japan","NBA Jikkyou Basket - Winning Dunk (Japan).sfc","3145728","A0878D1E96535CCF202A36159ADB54DB","7ECAA194"
"NBA Live 95 (Europe)","SNSP-ANBP-UKV","Europe","NBA Live 95 (Europe).sfc","1572864","32FB4E765C4BFE354403154C92B70DB7","56FDBB8C"
"NBA Live 95 (Europe)","SNSP-ANBP-FAH","Europe","NBA Live 95 (Europe).sfc","1572864","32FB4E765C4BFE354403154C92B70DB7","56FDBB8C"
"NBA Live 95 (Japan)","SHVC-ANBJ-JPNb","Japan","NBA Live 95 (Japan).sfc","1572864","50427975C0F5833F10A7FF02A5DE3C61","500F57D3"
"NBA Live 95 (Japan)","SHVC-ANBJ-JPN","Japan","NBA Live 95 (Japan).sfc","1572864","50427975C0F5833F10A7FF02A5DE3C61","500F57D3"
"NBA Live 95 (USA)","SNS-ANBE-USA","USA","NBA Live 95 (USA).sfc","1572864","86021F9150C5A03E00D7F9E688A5A981","1CD2393D"
"NBA Live 96 (Europe)","SNSP-A6BP-EUR","Europe","NBA Live 96 (Europe).sfc","1572864","6E0DC79E19307E6961390553A79AB4CF","17689C62"
"NBA Live 96 (USA)","SNS-A6BE-USA","USA","NBA Live 96 (USA).sfc","1572864","9299BD183EB84D5AE7A3661438002E31","042A6495"
"NBA Live 96 (USA)","SNS-A6BE","USA","NBA Live 96 (USA).sfc","1572864","9299BD183EB84D5AE7A3661438002E31","042A6495"
"NBA Live 97 (Europe)","SNSP-A7LP-EUR","Europe","NBA Live 97 (Europe).sfc","2097152","59AF406928546B8E9579DC74A1918F67","2C680C99"
"NBA Live 97 (USA)","SNS-A7LE-USA","USA","NBA Live 97 (USA).sfc","2097152","362C3BFBA31038172DBA396CCE3C1EEC","5115B8E5"
"NBA Live 98 (USA)","SNS-A8LE-USA","USA","NBA Live 98 (USA).sfc","2097152","FBBC69E91C2AA544B37C97395C67486F","514BFCB5"
"NBA Pro Basketball '94 - Bulls vs Suns (Japan)","","","NBA Pro Basketball '94 - Bulls vs Suns (Japan).sfc","1048576","0F39F63CF133FC52A5C33620E3333E96","573C8A65"
"NBA Pro Basketball - Bulls vs Blazers (Japan)","SHVC-BU","Japan","NBA Pro Basketball - Bulls vs Blazers (Japan).sfc","1048576","D855D0EB050425258A662656BB484B6A","C5148840"
"NBA Showdown (USA)","SNS-6N-USA","USA","NBA Showdown (USA).sfc","1048576","C89D5FBC1047DFAE5C256410C4056B3B","65746F02"
"NBA Showdown (USA) (Beta)","","","NBA Showdown (USA) (Beta).sfc","1048576","9F709B2B869CAFF15782E4B43A65055C","8F3C36AB"
"NCAA Basketball (USA)","SNS-DU-USA","USA","NCAA Basketball (USA).sfc","1048576","BDC235FCCD36A0676FB9CDDAAF1C534A","8D4C2300"
"NCAA Basketball (USA) (Beta)","","","NCAA Basketball (USA) (Beta).sfc","1048576","FBF4FA8A22BC761A2780EFF3C5CDA4FA","25C43074"
"NCAA Basketball (USA) (Rev 1)","SNS-DU-USA","USA","NCAA Basketball (USA) (Rev 1).sfc","1048576","65F98FA7772B6F006DBE153F71A34445","200370A2"
"NCAA Basketball (USA) (Arcade)","","","NCAA Basketball (USA) (Arcade).sfc","1048576","7D2242F7E531FD337FCF451319C55DAC","20CFC61C"
"NCAA Final Four Basketball (USA)","SNS-AFIE-USA","USA","NCAA Final Four Basketball (USA).sfc","1572864","76A13CEB63C98BA797F7405C8BFE39E8","B07CFA91"
"NCAA Football (USA)","SNS-AFBE-USA","USA","NCAA Football (USA).sfc","1048576","2AE8390A41F010A5C97A16C28839A76C","2641C12A"
"Nekketsu Tairiku Burning Heroes (Japan)","","Japan","Nekketsu Tairiku Burning Heroes (Japan).sfc","2097152","900ECFB892E63D89E3A46EB2C4A8DC8E","DA105A27"
"Network Q Rally (USA) (Proto)","","","Network Q Rally (USA) (Proto).sfc","1048576","F56C034933FE0613DBA01C3A8B7AA1A5","5B5F152F"
"Neugier - Umi to Kaze no Kodou (Japan)","","Japan","Neugier - Umi to Kaze no Kodou (Japan).sfc","1048576","D7289C3133E50CB6A3738D9FBC69769E","7F0DDCCF"
"New 3D Golf Simulation - Devil's Course (Japan)","","","New 3D Golf Simulation - Devil's Course (Japan).sfc","1048576","C05FC3328007B478495EB0BB5F23EAA8","640D734F"
"New 3D Golf Simulation - Devil's Course (Japan) (Sample)","","","New 3D Golf Simulation - Devil's Course (Japan) (Sample).sfc","524288","C565EA5042B5F2500217E8AB3221636D","E983B63A"
"New 3D Golf Simulation - Harukanaru Augusta (Japan)","SHVC-GA","Japan","New 3D Golf Simulation - Harukanaru Augusta (Japan).sfc","1048576","EC9817453FEE64BBE1E0FC1260459A80","B4FD7AFF"
"New 3D Golf Simulation - Harukanaru Augusta (Japan) (Rev 1)","SHVC-GA","Japan","New 3D Golf Simulation - Harukanaru Augusta (Japan) (Rev 1).sfc","1048576","A54BF529F445F207C8BB88FD8474D88A","D7E41218"
"New 3D Golf Simulation - Pebble Beach no Hatou (Japan)","","","New 3D Golf Simulation - Pebble Beach no Hatou (Japan).sfc","1048576","F84A6DF8E3924D4F7A6EC6BBDAF98468","E8A7D379"
"New 3D Golf Simulation - Waialae no Kiseki (Japan)","","","New 3D Golf Simulation - Waialae no Kiseki (Japan).sfc","1048576","404797AD46837AC9F4B02FE1AEE3DD3E","8BAFCA10"
"New Horizons (USA)","SNS-QL-USA","USA","New Horizons (USA).sfc","2097152","6FE8DB7C73BB14F322CA6045C2FDE46A","3C3C63E6"
"New Yatterman - Nandai Kandai Yajirobee (Japan)","","","New Yatterman - Nandai Kandai Yajirobee (Japan).sfc","1572864","8AAB2FE9122C1A139AC8AF58C6914B3C","FACC2423"
"Newman Haas IndyCar featuring Nigel Mansell (Europe)","SNSP-ANMP-EUR","Europe","Newman Haas IndyCar featuring Nigel Mansell (Europe).sfc","2097152","98FC1A327942F8D7203BC7FE6F29AFAC","595684AF"
"Newman Haas IndyCar featuring Nigel Mansell (USA)","SNS-ANME-USA","USA","Newman Haas IndyCar featuring Nigel Mansell (USA).sfc","2097152","4306E1DFA9D4CA381775B10322B6DC5F","A0F80C02"
"NFL Football (Europe)","SNSP-NF-NOE","Europe","NFL Football (Europe).sfc","1048576","C609A3102896A71F6AEEA37129F81FC7","5EE9D7E4"
"NFL Football (Europe) (Proto)","","","NFL Football (Europe) (Proto).sfc","2097152","DE01494F0D83C2B5F811EE7AC3519B99","126E876F"
"NFL Football (Japan) (En)","","","NFL Football (Japan) (En).sfc","1048576","7EA711E169B14961932EC5FA715CD476","A4B1DD93"
"NFL Football (USA)","SNS-NF-USA","USA","NFL Football (USA).sfc","1048576","A95DA08BB65079B75CFFD45A8ED19317","ADB7731B"
"NFL Pro Football '94 (Japan)","","","NFL Pro Football '94 (Japan).sfc","1048576","F26C450B854F919AF4B8D7B58D2822FB","1E4B3858"
"NFL Quarterback Club (Europe)","SNSP-Q9-EUR","Europe","NFL Quarterback Club (Europe).sfc","3145728","1A723BA2E11992EDE14E9D9EB875B9BF","87BC35AF"
"NFL Quarterback Club (USA)","SNS-Q9-USA","USA","NFL Quarterback Club (USA).sfc","3145728","90CAD22930418D69BC55BB8BE81B9654","79F16421"
"NFL Quarterback Club (USA) (Beta)","","","NFL Quarterback Club (USA) (Beta).sfc","3145728","99C0888D7D55D682BFEE209EA5E959EF","78D10E07"
"NFL Quarterback Club '95 (Japan) (En)","","","NFL Quarterback Club '95 (Japan) (En).sfc","3145728","B22CDBFBBD47BF49E0D69C7EDB23323A","1C036B4F"
"NFL Quarterback Club 96 (Europe)","SNSP-AQBP-EUR","Europe","NFL Quarterback Club 96 (Europe).sfc","3145728","FCD126A28F94A44314CA3B5E0A826A14","9708ABE3"
"NFL Quarterback Club 96 (Japan) (En)","","","NFL Quarterback Club 96 (Japan) (En).sfc","3145728","D67A3E33268937C39C764BB8B2EAF220","3A4C0DE6"
"NFL Quarterback Club 96 (USA)","SNS-AQBE-USA","USA","NFL Quarterback Club 96 (USA).sfc","3145728","D036D484F2F2A50A45B34F45FC6FD360","E557689F"
"NFL Quarterback Club 96 (USA) (Beta)","","","NFL Quarterback Club 96 (USA) (Beta).sfc","3145728","D0AC8ECF45A99C310370FAC78933B9DF","B87ABC7E"
"NHL '94 (USA)","SNS-4H-USA","USA","NHL '94 (USA).sfc","1048576","A93FFED8EA7198A8CD23D698933E2CD9","42212A77"
"NHL '94 (USA) (Beta)","","","NHL '94 (USA) (Beta).sfc","1048576","52824E72C80A8309797E5A8EA4E9536F","00FF0C74"
"NHL '97 (USA) (Beta)","","","NHL '97 (USA) (Beta).sfc","1572864","89C8251AFBCED80297426D2B4A4ED20A","91DA8D5C"
"NHL 95 (Europe)","SNSP-ANHP-SCN","Europe","NHL 95 (Europe).sfc","1048576","A878A1C7C8A65B1E231987F1CDF8FEDC","6930B67A"
"NHL 95 (USA)","SNS-ANHE-USA","USA","NHL 95 (USA).sfc","1048576","DEEA8F94027F374D432DEA56E0C72917","2E9B1463"
"NHL 96 (Europe)","SNSP-A6HP-EUR","Europe","NHL 96 (Europe).sfc","1572864","CFF67A517F479B64189C0A248D3C3D8D","148B2734"
"NHL 96 (USA)","SNS-A6HE-USA","USA","NHL 96 (USA).sfc","1572864","5558AA840D9F842B7A6C97B26C80C244","B6C6E7F3"
"NHL 97 (Europe)","","","NHL 97 (Europe).sfc","1572864","D1E63437AF76C2A2ED5567B527C3AF05","313B9622"
"NHL 97 (Europe) (Rev 1)","","","NHL 97 (Europe) (Rev 1).sfc","1572864","CB9B48905598A3D4EABD9A568D7186DB","1A53B7A8"
"NHL 97 (USA)","SNS-AH7E-USA","USA","NHL 97 (USA).sfc","1572864","4E93B6A3EA6BC0FD338A66565B5E4716","06BADB74"
"NHL 97 (USA) (Rev 1)","","USA","NHL 97 (USA) (Rev 1).sfc","1572864","8D684564175BE2683EFBBB15E9BF0F4C","4F72AA8C"
"NHL 98 (USA)","SNS-A8HE-USA","USA","NHL 98 (USA).sfc","2097152","2B4A2F7722CA9C2C305F72D4A9D4E83E","03CAD2D2"
"NHL Hockey '94 (Europe)","SNSP-4H-SCN","Europe","NHL Hockey '94 (Europe).sfc","1048576","4D8F6F821E779839D9680FDDF11003B0","208FBF59"
"NHL Hockey '94 (Europe)","SNSP-4H-UKV","Europe","NHL Hockey '94 (Europe).sfc","1048576","4D8F6F821E779839D9680FDDF11003B0","208FBF59"
"NHL Pro Hockey '94 (Japan)","","","NHL Pro Hockey '94 (Japan).sfc","1048576","21EA8A54B6439E80D99C51C4917FD651","BC37D603"
"NHL Stanley Cup (USA) (En,Fr)","","USA","NHL Stanley Cup (USA) (En,Fr).sfc","1048576","54DC56A5CF3199E53B556775AE0304C7","584CE502"
"NHL Stanley Cup (USA) (En,Fr)","SNS-NH-USA","USA","NHL Stanley Cup (USA) (En,Fr).sfc","1048576","54DC56A5CF3199E53B556775AE0304C7","584CE502"
"NHLPA Hockey 93 (Europe)","SNSP-HY-UKV","Europe","NHLPA Hockey 93 (Europe).sfc","524288","7FB33136DFD9EC02268FEE3D3413E048","AD70FAF2"
"NHLPA Hockey 93 (USA)","SNS-HY-USA","USA","NHLPA Hockey 93 (USA).sfc","524288","D78FD637750AE93B422F90EB68B5638B","C858EAC4"
"Nice de Shot (Japan)","","","Nice de Shot (Japan).sfc","1572864","84971155FD7E6E64CC508DD7373173FB","47ABB4DF"
"Nichibutsu Arcade Classics (Japan)","","Japan","Nichibutsu Arcade Classics (Japan).sfc","524288","47F344FE8BBA64D564F01E5180EA7B97","2839940E"
"Nichibutsu Arcade Classics 2 - Heiankyou Alien (Japan)","","Japan","Nichibutsu Arcade Classics 2 - Heiankyou Alien (Japan).sfc","524288","AE3A95252E9CD6A0E83B915A9A9F8836","65717023"
"Nichibutsu Collection 1 (Japan)","","","Nichibutsu Collection 1 (Japan).sfc","2097152","964CF6DABD4233AC619133BDB18632A5","A8A85C55"
"Nichibutsu Collection 2 (Japan)","","","Nichibutsu Collection 2 (Japan).sfc","1572864","1092702C3D5BDD4656831566128F0397","5DD9AF58"
"Nickelodeon GUTS (USA)","","USA","Nickelodeon GUTS (USA).sfc","1572864","9FAAB82508FC7D377882CDDEE785D422","233FEC8C"
"Nickelodeon GUTS (USA)","SNS-ANGE-USA","USA","Nickelodeon GUTS (USA).sfc","1572864","9FAAB82508FC7D377882CDDEE785D422","233FEC8C"
"Nigel Mansell F-1 Challenge (Japan)","","","Nigel Mansell F-1 Challenge (Japan).sfc","1048576","E36EB44CE2050B0015176F4372DB5553","40B0C585"
"Nigel Mansell IndyCar (Japan) (En)","SHVC-ANMJ-JPN","Japan","Nigel Mansell IndyCar (Japan) (En).sfc","2097152","049A88774B855E84A4EC078A3A4D71CF","546062C7"
"Nigel Mansell's World Championship Racing (Europe)","SNSP-M8-UKV","Europe","Nigel Mansell's World Championship Racing (Europe).sfc","1048576","E3B0EFDE9DA342EA567A0647B162162F","FC23E228"
"Nigel Mansell's World Championship Racing (Europe) (Gremlin Graphics)","","","Nigel Mansell's World Championship Racing (Europe) (Gremlin Graphics).sfc","1048576","E5AB2F72C3704132944F47FC427D222C","83EB5296"
"Nigel Mansell's World Championship Racing (Europe) (Rev 1)","","","Nigel Mansell's World Championship Racing (Europe) (Rev 1).sfc","1048576","AF96904815CD2F8811BF25E7841B651A","C65E0E5B"
"Nigel Mansell's World Championship Racing (USA)","SNS-M8-USA","USA","Nigel Mansell's World Championship Racing (USA).sfc","1048576","EAEADF3718805132AC2348C6BC093563","162252E2"
"Nightmare Busters (Europe) (Proto)","","","Nightmare Busters (Europe) (Proto).sfc","1048576","B800E6B33DF2E94586CDF49651727E8E","5327C524"
"Ninja Gaiden Trilogy (USA)","","USA","Ninja Gaiden Trilogy (USA).sfc","1572864","A641A33A829154F656CA00AB1EF35500","066FE797"
"Ninja Gaiden Trilogy (USA)","SNS-ANRE-USA","USA","Ninja Gaiden Trilogy (USA).sfc","1572864","A641A33A829154F656CA00AB1EF35500","066FE797"
"Ninja Ryuuken Den Tomoe (Japan)","","","Ninja Ryuuken Den Tomoe (Japan).sfc","1572864","BD4759AFCFFD0BD51354F4B620B87457","5995CF46"
"Ninjawarriors (USA)","","USA","Ninjawarriors (USA).sfc","1572864","A8711C9185C7A6C52B863567B188CE1E","7537D8D7"
"Ninjawarriors (USA)","SNS-NI-USA","USA","Ninjawarriors (USA).sfc","1572864","A8711C9185C7A6C52B863567B188CE1E","7537D8D7"
"Ninjawarriors - The New Generation (Europe)","","","Ninjawarriors - The New Generation (Europe).sfc","1572864","2F06312FB386FC34572DF8B73ABCD8AE","733764D7"
"Ninjawarriors Again, The (Japan)","","","Ninjawarriors Again, The (Japan).sfc","1572864","C86C99D1454426B908C89FD1CAA858DC","3BC037B6"
"Nintama Rantarou (Japan)","","Japan","Nintama Rantarou (Japan).sfc","1572864","E0783CA08448A0C49B31EE22C50273E1","359F02AF"
"Nintama Rantarou 2 (Japan)","","Japan","Nintama Rantarou 2 (Japan).sfc","1048576","C20298ABCF7890DAC0399C88EECE767D","78A066F1"
"Nintama Rantarou 3 (Japan)","","Japan","Nintama Rantarou 3 (Japan).sfc","1048576","47D4256CC90D7CBF173E8F502504F54C","9ED8F6B3"
"Nintama Rantarou Special (Japan)","","","Nintama Rantarou Special (Japan).sfc","524288","6C51D6E4AD03E8AF3320DAC648B0CEFC","70A6029A"
"Nintendo Power Menu Program (Japan) (NP)","","","Nintendo Power Menu Program (Japan) (NP).sfc","524288","0049BFC70F2DFE730C7BBD702F4C615C","65FE9A35"
"Nintendo Power Menu Program (Japan) (Rev 1) (NP)","","","Nintendo Power Menu Program (Japan) (Rev 1) (NP).sfc","524288","16D37B1BD624A10FF9FE476003019AD7","9F2A7CA7"
"Nintendo Scope 6 (Europe)","SNSP-LR-EKV","Europe","Nintendo Scope 6 (Europe).sfc","1048576","6CD53158AC83005A5F7E09D1E78B87C9","B1859CA4"
"Nintendo Scope 6 (Europe)","SNSP-LR-FAH","Europe","Nintendo Scope 6 (Europe).sfc","1048576","6CD53158AC83005A5F7E09D1E78B87C9","B1859CA4"
"Nishijin Pachinko 3 (Japan)","","","Nishijin Pachinko 3 (Japan).sfc","1310720","C6A96D2A0983B6911A6EC87F751F2370","7D149029"
"Nishijin Pachinko Monogatari (Japan)","SHVC-ANPJ-JPN","Japan","Nishijin Pachinko Monogatari (Japan).sfc","1048576","19158523C819A8217B04DC87D70D497D","13648B68"
"Nishijin Pachinko Monogatari 2 (Japan)","","","Nishijin Pachinko Monogatari 2 (Japan).sfc","2097152","0006A7723BF016FC959B61D06FB0DCFA","3DA9BB8C"
"Nitropunks - Might Heads (Japan)","","","Nitropunks - Might Heads (Japan).sfc","1048576","E7E5922FEA39FD2DABFDF09EAB8434FB","5D8426E9"
"No Escape (USA)","SNS-ANOE-USA","USA","No Escape (USA).sfc","2097152","C5556CF995097E3DBB6E7B11D6ADA61E","C1082880"
"Nobunaga no Yabou - Haouden (Japan)","SHVC-NK","Japan","Nobunaga no Yabou - Haouden (Japan).sfc","2097152","FA557C6B77C393C6D7796B0C5D445ACB","928504A7"
"Nobunaga no Yabou - Haouden (Japan) (Rev 1)","","","Nobunaga no Yabou - Haouden (Japan) (Rev 1).sfc","2097152","F82BD76788A41937041D8A5DCDCE368A","7E91D654"
"Nobunaga no Yabou - Tenshouki (Japan)","SHVC-AN6J-JPN","Japan","Nobunaga no Yabou - Tenshouki (Japan).sfc","3145728","0E43771B2C4BE024DB0FDB2A2885AAD9","B190D1EA"
"Nobunaga's Ambition (USA)","SNS-NZ-USA","USA","Nobunaga's Ambition (USA).sfc","524288","E4D7CA6333E7A05ACFD409B169F1A1C2","49DA3583"
"Nolan Ryan's Baseball (USA)","SNS-NR-USA","USA","Nolan Ryan's Baseball (USA).sfc","524288","4810FBCDE1039C3F3DC674C08DC8017E","1919BAFF"
"Nomark Baku Haitou - Shijou Saikyou no Janshi-tachi (Japan)","","","Nomark Baku Haitou - Shijou Saikyou no Janshi-tachi (Japan).sfc","1572864","27FC4CF85DE77300AFEDD1DE0921D911","41DFFE15"
"Nontan to Issho - Kurukuru Puzzle (Japan)","","","Nontan to Issho - Kurukuru Puzzle (Japan).sfc","524288","ABD1B7ABFDB05162688E5ABD2879A9F3","DE346477"
"Nosferatu (Japan)","","Japan","Nosferatu (Japan).sfc","2097152","61413693C0E62E67996F4818421343B3","2C5DF175"
"Nosferatu (USA)","SNS-NS-USA","USA","Nosferatu (USA).sfc","2097152","42647BF6FD9C3E28A2542B88C09D2893","DE762764"
"Numbers Paradise (Japan)","","","Numbers Paradise (Japan).sfc","524288","1606F031D9B1DA1FC8C38D8D7EFCF890","612A07F9"
"Obitus (USA)","","USA","Obitus (USA).sfc","1048576","A8D00FEECB22269F8330206D54B12603","7C495B36"
"Obitus (USA)","SNS-7B-USA","USA","Obitus (USA).sfc","1048576","A8D00FEECB22269F8330206D54B12603","7C495B36"
"Oda Nobunaga - Haou no Gundan (Japan)","SHVC-ON","Japan","Oda Nobunaga - Haou no Gundan (Japan).sfc","1048576","6BAC5445344B1DDA963DE204AEE57C0A","F7D2FBC6"
"Odekake Lester - Lelele no Le (^^; (Japan)","","","Odekake Lester - Lelele no Le (^^; (Japan).sfc","1048576","8B915A1115B4B1E0FC588173341EE83A","8D89A8E8"
"Oekaki Logic (Japan) (NP)","","","Oekaki Logic (Japan) (NP).sfc","524288","1746F6188CED148FCC59B3C31D165496","39A0C010"
"Oekaki Logic 2 (Japan) (NP)","","","Oekaki Logic 2 (Japan) (NP).sfc","524288","500F024B10B8AF520BD2229C3ADD874E","4B32C8AA"
"Ogre Battle - The March of the Black Queen (USA)","","USA","Ogre Battle - The March of the Black Queen (USA).sfc","1572864","64A824BE35BFBB7797E8CFE6CCCC5DEC","ACFDB7B8"
"Ogre Battle - The March of the Black Queen (USA)","SNS-OB-USA","USA","Ogre Battle - The March of the Black Queen (USA).sfc","1572864","64A824BE35BFBB7797E8CFE6CCCC5DEC","ACFDB7B8"
"Okamoto Ayako to Match Play Golf - Ko Olina Golf Club in Hawaii (Japan)","SHVC-OG","Japan","Okamoto Ayako to Match Play Golf - Ko Olina Golf Club in Hawaii (Japan).sfc","1048576","E546B24C109A7807F50D5311CCE9F45D","E6C805A7"
"Olivia no Mystery (Japan)","","","Olivia no Mystery (Japan).sfc","1048576","FD5996240DD8A2EC6565F6D269153C02","0DFDE2AA"
"Olympic Summer Games (Europe)","SNSP-AO9P-EUR","Europe","Olympic Summer Games (Europe).sfc","2097152","8AB1FE6F37D3C826B01A09BE6C36933B","3ED21333"
"Olympic Summer Games (USA)","SNS-AO9E-USA","USA","Olympic Summer Games (USA).sfc","2097152","F082072B16E7ED337503EC4DF334171F","6B882D11"
"Olympic Summer Games (USA)","SNS-AO9E","USA","Olympic Summer Games (USA).sfc","2097152","F082072B16E7ED337503EC4DF334171F","6B882D11"
"On the Ball (Europe)","SNSP-CT-UKV","Europe","On the Ball (Europe).sfc","1048576","27547BE412E441CFC7AC11BE3634805A","B577815D"
"On the Ball (USA)","","USA","On the Ball (USA).sfc","1048576","7A5C2C67BFE548289794EA05D05771FF","50AD3FE8"
"On the Ball (USA)","SNS-CT-USA","USA","On the Ball (USA).sfc","1048576","7A5C2C67BFE548289794EA05D05771FF","50AD3FE8"
